Time,NGear,nEngine,rThrottlePedal,pBrakeF,gLat,gLong,sLap,vCar,Lap,,
663,3,14836,61,1,-2,1,1276,141.8,8,,1
664,3,15710,98,1,-1,2,1327,171.2,8,,1
665,4,17571,98,1,2,0,1367,202.4,8,,1
666,5,15805,61,1,3,0,1459,218.7,8,,1
667,5,16406,100,1,3,0,1482,219,8,,1
668,5,16455,100,1,1,0,1581,241.5,8,,1
669,6,16424,100,1,1,1,1634,252.6,8,,1
670,6,17321,100,1,-1,0,1718,268,8,,1
671,6,14227,0,1,-1,-3,1773,251.7,8,,1
672,4,14001,0,40,1,-1,1816,182.9,8,,1
673,3,12264,9,1,3,0,1862,134.9,8,,1
674,3,12316,59,1,1,1,1903,130.6,8,,1
676,4,16750,100,1,-1,1,1989,190.5,8,,2
677,5,16168,100,1,2,0,2031,214.9,8,,1
678,5,17600,100,1,2,0,2128,238.3,8,,1
680,6,16877,100,1,2,0,2263,263,8,,2
681,6,17530,100,1,0,0,2348,272.7,8,,1
683,6,13076,0,66,0,-3,2432,255.5,8,,2
684,2,14438,0,11,2,-1,2502,125.3,8,,1
685,2,12713,23,1,2,0,2537,103.2,8,,1
686,2,16615,75,1,-1,1,2572,117.9,8,,1
687,3,15891,74,1,-1,1,2618,146.9,8,,1
689,4,15686,100,1,0,0,2695,207.4,8,,2
690,5,17018,100,1,-1,1,2695,228.4,8,,1
691,6,16344,100,1,-2,0,2842,252.4,8,,1
692,6,16858,100,1,-1,0,2897,261.2,8,,1
693,6,17548,100,1,-1,0,2982,273.9,8,,1
694,7,16290,100,1,-2,0,3040,280.6,8,,1
695,7,16661,100,1,-1,0,3160,287.6,8,,1
696,7,14754,0,62,-1,-3,3222,290.5,8,,1
697,5,15059,8,4,-3,0,3274,226.6,8,,1
698,5,14587,45,1,-3,0,3341,205.7,8,,1
700,5,16042,100,1,3,1,3451,214.2,8,,2
701,5,17172,100,1,0,1,3522,232.2,8,,1
702,6,16233,100,1,0,0,3573,245.5,8,,1
703,6,16987,100,1,1,0,3655,263,8,,1
704,6,17441,100,1,1,0,3740,272.3,8,,1
705,7,16521,100,1,1,0,3829,282.8,8,,1
706,7,16738,100,1,0,0,3889,287,8,,1
707,7,16724,14,40,0,-4,3981,293.1,8,,1
708,7,14023,0,74,0,-3,4034,230.6,8,,1
709,7,11898,3,10,3,-1,4085,139.3,8,,1
710,7,12141,31,1,2,0,4125,123.3,8,,1
711,3,15843,93,1,1,1,4168,137.1,8,,1
712,3,17338,98,1,0,1,4202,166.6,8,,1
714,4,15370,0,23,2,-1,4310,216,8,,2
716,4,15386,74,1,2,0,4426,180,8,,2
717,4,17495,100,1,0,1,4467,202.5,8,,1
718,5,14062,0,47,-1,-3,4534,220.1,8,,1
719,3,14314,0,37,-1,-2,4569,153.1,8,,1
720,2,9559,0,9,-2,0,4605,97.8,8,,1
721,2,9894,27,1,-1,0,4631,78,8,,1
722,2,12293,51,1,-1,1,4649,87.4,8,,1
723,2,13352,87,1,2,0,4683,115.9,8,,1
724,3,14452,44,1,2,0,4728,143.9,8,,1
725,3,15651,62,1,2,1,4759,152.8,8,,1
726,3,16675,88,1,2,1,4811,170.9,8,,1
727,4,16251,100,1,1,1,4851,190.3,8,,1
728,5,16551,100,1,0,0,4918,220.8,8,,1
729,5,17766,100,1,0,0,4967,239.8,8,,1
730,6,16750,100,1,0,0,5073,259.2,8,,1
731,6,17499,100,1,0,0,5159,271,8,,1
732,6,16299,100,1,0,0,5217,280.1,8,,1
734,7,16960,100,1,0,0,142,291.9,9,,2
736,7,16165,1,64,1,-2,291,224.2,9,,2
737,3,13748,4,4,2,-1,347,158.1,9,,1
738,3,14122,50,1,2,1,392,139.6,9,,1
739,3,16668,100,1,-2,1,423,152,9,,1
740,4,16064,100,1,-2,1,479,187,9,,1
742,5,17276,100,1,0,0,593,232.1,9,,2
743,6,16094,100,1,1,0,644,248.5,9,,1
744,6,16944,100,1,1,0,726,264,9,,1
746,7,16496,100,1,1,0,870,282.7,9,,2
747,7,14102,2,1,0,-3,961,287.8,9,,1
748,4,13935,0,63,0,-2,1030,191.1,9,,1
749,2,11899,0,27,2,-1,1060,126.9,9,,1
750,2,9537,5,1,2,0,1102,89.1,9,,1
751,2,10609,33,1,1,0,1119,81.8,9,,1
752,2,14222,62,1,1,1,1139,102,9,,1
753,3,14285,90,1,-2,1,1178,131.1,9,,1
755,3,14243,52,1,-2,1,1255,139.9,9,,2
756,3,15628,99,1,-1,1,1302,160,9,,1
757,4,16920,99,1,1,1,1341,194.2,9,,1
759,5,15235,99,1,3,0,1474,212.5,9,,2
760,5,17021,99,1,1,1,1545,228.1,9,,1
761,6,15906,100,1,1,0,1596,245,9,,1
762,6,16865,100,1,0,1,1677,259.2,9,,1
763,6,15424,90,28,-1,-3,1733,269.6,9,,1
764,6,14593,0,51,0,-3,1809,224.3,9,,1
766,3,13115,42,1,2,0,1886,126.1,9,,2
767,3,16673,97,1,-1,1,1929,145.7,9,,1
768,3,15688,97,1,-2,1,1964,174,9,,1
769,4,17530,100,1,1,0,2049,210,9,,1
770,5,16999,100,1,2,0,2097,227.9,9,,1
771,6,16159,100,1,2,0,2174,247.8,9,,1
772,6,16606,100,1,2,0,2228,257,9,,1
773,6,17203,100,1,0,0,2312,267.5,9,,1
774,6,17120,100,1,0,0,2370,277.5,9,,1
775,6,13419,1,56,0,-2,2449,218.3,9,,1
776,2,14084,1,38,1,-2,2484,152.2,9,,1
777,2,12101,100,1,3,0,2522,107.9,9,,1
778,2,14197,62,1,1,1,2555,105.2,9,,1
779,3,15657,81,1,-2,1,2597,146.4,9,,1
780,3,16574,89,1,-2,1,2614,166.3,9,,1
781,4,16799,89,1,0,1,2693,202.3,9,,1
782,5,16891,100,1,0,1,2739,225.9,9,,1
783,6,16286,100,1,-1,0,2815,251,9,,1
784,6,16734,100,1,-1,0,2869,259.9,9,,1
785,6,17487,100,1,-1,1,2954,272.2,9,,1
786,6,17455,100,1,-2,0,3012,278.1,9,,1
788,7,16806,100,1,0,0,3193,289.9,9,,2
789,5,15604,0,22,-3,-1,3277,245.7,9,,1
790,5,14853,50,1,-2,0,3323,210.9,9,,1
792,5,16183,100,1,2,0,3457,214.7,9,,2
793,5,17113,100,1,0,0,3529,234.4,9,,1
794,6,16350,100,1,0,0,3580,246,9,,1
795,6,16910,100,1,1,0,3662,260.5,9,,1
796,6,17451,100,1,1,0,3719,270.6,9,,1
797,7,16353,100,1,1,0,3807,279.9,9,,1
798,7,16481,100,1,0,0,3867,287.3,9,,1
799,7,14862,100,22,0,-4,3959,292.7,9,,1
800,7,13895,0,66,0,-2,4015,215.1,9,,1
801,3,14348,3,14,1,-1,4069,141.9,9,,1
802,2,14364,31,1,2,0,4109,120.4,9,,1
803,2,13689,64,1,1,1,4148,126.1,9,,1
804,3,17631,100,1,0,1,4179,160.3,9,,1
806,4,14803,0,33,2,-1,4303,211.3,9,,2
807,4,14352,26,1,3,0,4342,176.8,9,,1
808,4,15214,78,1,3,1,4397,175.7,9,,1
809,4,17164,100,1,2,1,4436,197.4,9,,1
810,5,14362,4,39,-1,-2,4503,220.8,9,,1
811,4,14180,0,44,0,-2,4545,183.3,9,,1
812,2,10375,0,17,-1,-1,4600,122.7,9,,1
813,2,9419,13,1,-2,0,4618,84.2,9,,1
814,2,12191,44,1,-1,1,4644,85.7,9,,1
815,2,14917,77,1,0,1,4665,103.3,9,,1
816,3,14064,43,1,2,0,4706,141.8,9,,1
817,3,14779,42,1,2,0,4737,146.8,9,,1
819,3,17391,81,1,2,1,4785,162.7,9,,2
820,4,15919,100,1,0,1,4885,207.7,9,,1
822,6,17381,100,1,0,0,5035,250.8,9,,2
823,6,16540,100,1,0,0,5090,264.1,9,,1
824,6,17801,100,1,0,0,5176,277.6,9,,1
826,7,16922,100,1,0,0,101,290.5,10,,2
828,7,14651,0,68,0,-3,256,267.5,10,,2
829,3,14342,0,39,2,-1,325,188.1,10,,1
830,3,13569,21,1,3,0,373,144.8,10,,1
831,3,14915,68,1,1,1,403,143.4,10,,1
832,3,17582,83,1,-2,1,454,171.1,10,,1
833,4,15600,100,1,-2,1,513,189.7,10,,1
834,5,16242,100,1,-2,1,557,216.1,10,,1
836,6,16440,100,1,0,0,682,253.9,10,,2
837,6,17236,100,1,0,0,765,267.2,10,,1
839,7,16544,100,1,1,0,941,285.5,10,,2
840,7,12578,0,78,0,-3,997,253.9,10,,1
841,2,14886,0,41,1,-2,1051,157.7,10,,1
842,2,10386,0,11,2,-1,1076,106.7,10,,1
843,2,9750,18,1,2,0,1105,82.8,10,,1
844,2,12239,45,1,1,1,1132,92,10,,1
845,2,15974,79,1,0,1,1154,114.5,10,,1
846,3,13948,16,1,-2,0,1182,142.9,10,,1
847,3,13297,18,1,-2,0,1243,140,10,,1
848,3,14694,67,1,-2,1,1287,140.3,10,,1
849,3,17896,100,1,0,1,1322,167.4,10,,1
850,4,17021,100,1,1,1,1362,194.1,10,,1
851,4,15527,57,1,3,0,1425,189.3,10,,1
852,4,16987,100,1,3,1,1465,192.4,10,,1
853,5,16431,100,1,1,1,1555,222.6,10,,1
854,5,17623,100,1,0,0,1604,236.3,10,,1
855,6,16455,100,1,0,0,1684,255.8,10,,1
856,6,17113,100,2,-1,0,1740,266.3,10,,1
857,6,15866,0,50,0,-2,1815,207.9,10,,1
858,3,12474,3,11,2,0,1849,145.8,10,,1
859,3,13533,57,1,2,1,1905,129.1,10,,1
860,3,16238,100,1,-1,0,1920,142.2,10,,1
861,4,16248,100,1,-1,1,1992,183.9,10,,1
862,4,15837,100,1,1,1,2035,205,10,,1
863,5,17492,100,1,2,0,2108,235.7,10,,1
864,6,16137,100,1,2,0,2159,247.2,10,,1
865,6,16941,100,1,2,0,2241,260.9,10,,1
866,6,17449,100,1,1,0,2297,270.6,10,,1
867,6,15663,0,64,0,-4,2385,280.1,10,,1
868,6,15608,0,54,0,-2,2438,215.5,10,,1
869,6,15553,0,44,0,0,2491,150.9,10,,1
870,2,12894,4,1,3,0,2529,112.6,10,,1
871,2,15226,66,1,0,0,2563,111.6,10,,1
872,2,17558,128,1,-3,0,2597,110.6,10,,1
873,3,15762,100,1,-2,1,2642,166.1,10,,1
874,4,17533,100,1,0,1,2704,200.5,10,,1
875,4,16422,100,1,-1,1,2751,228.3,10,,1
876,6,16148,100,1,-1,0,2828,247.5,10,,1
877,6,16991,100,1,-1,0,2910,263.1,10,,1
878,6,17559,100,1,-1,0,2967,273.3,10,,1
879,7,16419,100,1,-2,0,3055,280.9,10,,1
880,7,16655,100,1,-1,0,3146,287.5,10,,1
881,7,16373,100,1,0,0,3207,291.9,10,,1
882,5,15412,4,12,-3,-1,3288,238,10,,1
883,5,15105,56,1,-4,0,3311,212.1,10,,1
884,5,15261,64,1,3,0,3400,212.1,10,,1
885,5,15499,90,1,3,1,3445,213,10,,1
886,5,15737,100,1,3,2,3490,213.9,10,,1
887,5,15975,100,1,3,3,3535,214.8,10,,1
888,6,16917,100,1,1,0,3645,260.8,10,,1
889,6,17288,100,1,1,0,3729,270.1,10,,1
890,6,16469,100,1,1,0,3817,279.8,10,,1
891,7,16571,100,1,0,0,3907,284.4,10,,1
892,7,16611,100,1,0,0,3980,287.3,10,,1
893,7,14510,6,50,0,-2,4018,216.4,10,,1
894,3,15570,0,19,2,-1,4071,154,10,,1
895,2,14219,21,1,2,0,4112,127.2,10,,1
896,3,13956,62,1,1,1,4153,131,10,,1
897,3,16496,100,1,0,1,4185,156.3,10,,1
898,4,17238,100,1,0,1,4243,196.6,10,,1
899,5,15616,0,41,1,-1,4288,220.3,10,,1
900,4,14546,29,1,3,0,4349,181.3,10,,1
901,3,13476,58,-39,5,1,4410,142.3,10,,1
902,4,17150,100,1,2,1,4466,193.5,10,,1
903,5,17439,100,12,-1,-2,4511,216.7,10,,1
904,3,12764,0,47,0,-2,4552,170.3,10,,1
905,2,10606,0,21,-1,-1,4594,113.8,10,,1
906,2,9677,16,1,-2,0,4622,82.7,10,,1
907,2,11836,38,1,-2,1,4639,84.1,10,,1
908,2,15933,83,1,1,1,4670,112,10,,1
909,3,14038,74,1,2,0,4697,141.9,10,,1
910,3,14244,55,1,2,0,4743,145.9,10,,1
911,3,16629,79,1,2,1,4792,159.9,10,,1
912,4,16194,100,1,1,1,4829,180.1,10,,1
913,5,17556,100,1,0,1,4966,235.5,10,,1
914,5,18918,100,1,-1,1,5003,290.9,10,,1
915,6,16384,100,1,0,0,5046,254.2,10,,1
916,6,17228,100,1,0,0,5102,266.8,10,,1
917,6,17261,100,1,0,0,5189,278.6,10,,1
